Word,Hint
JAVASCRIPT,A popular scripting language for the web
CANVAS,HTML5 element for drawing graphics
HANGMAN,Classic word‑guessing game
CODING,What programmers spend most of their time doing
BROWSER,Software you’re using right now to play this game
COMPUTER,An electronic device for processing data
INTERNET,Global network connecting computers
SOFTWARE,Programs and operating information used by a computer
HARDWARE,The physical components of a computer
NETWORK,Interconnected group of devices
DATABASE,Organized collection of data
ALGORITHM,A step-by-step procedure for calculations
ENCRYPTION,The process of encoding information
FIREWALL,A security system that controls network traffic
PROTOCOL,Rules governing data communication
ROBOTICS,Technology dealing with robots
CYBERSECURITY,Protection of systems from digital attacks
CLOUD,Network of remote servers for storage and processing
MOBILE,Portable computing device
AI,Intelligence demonstrated by machines
LION,Large wild cat known as the king of the jungle
TIGER,Striped big cat
ELEPHANT,Large mammal with a trunk
GIRAFFE,Tallest land animal
KANGAROO,Australian marsupial with powerful hind legs
PENGUIN,Flightless bird living mostly in Antarctic
DOLPHIN,Intelligent marine mammal
WHALE,Large marine mammal
SHARK,A predatory fish
OCTOPUS,Cephalopod with eight arms
BUTTERFLY,Insect with colorful wings
SPARROW,Small brown bird
EAGLE,Bird of prey with keen eyesight
CROW,Large black bird
HORSE,Domesticated hoofed mammal
DONKEY,Domesticated hoofed mammal with long ears
SNAKE,Legless reptile
FROG,Amphibian that jumps
TURTLE,Reptile with a shell
MONKEY,Primate with long tail
PIZZA,Flatbread topped with cheese and tomato sauce
BURGER,Sandwich with a ground meat patty
SUSHI,Japanese dish of vinegared rice and seafood
PASTA,Italian dish made from dough
TACO,Mexican folded tortilla with filling
CURRY,Spicy dish with sauce and meat or vegetables
SALAD,Mix of raw or cooked vegetables
PANCAKE,Flat sweet breakfast cake
WAFFLE,Grid-patterned fried batter
CAKE,Sweet baked dessert
BROWNIE,Chocolate baked square
ICECREAM,Frozen dairy dessert
YOGURT,Fermented milk product
SANDWICH,Two slices of bread with filling
OMELET,Beaten egg cooked flat and folded
MOUNTAIN,Large natural elevation of Earth’s surface
RIVER,Large flowing body of water
OCEAN,Vast body of salt water
DESERT,Dry barren area
FOREST,Large area covered with trees
VALLEY,Low area between hills
ISLAND,Land surrounded by water
PENINSULA,Land almost surrounded by water
CONTINENT,Major landmass
VOLCANO,Mountain that erupts lava
PHYSICS,Study of matter and energy
CHEMISTRY,Study of substances and reactions
BIOLOGY,Study of living organisms
ASTRONOMY,Study of celestial objects
GEOLOGY,Study of Earth’s crust
GENETICS,Study of heredity
ECOLOGY,Study of organisms and their environment
MICROBIOLOGY,Study of microorganisms
NEUROSCIENCE,Study of the nervous system
QUANTUM,Relating to the smallest discrete particle
THERMODYNAMICS,Study of heat and temperature
